Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-06-13,Good Boy,2020,https://boxd.it/1cieh3,3.5,,,2020-06-13
2020-06-14,Tamara,2005,https://boxd.it/1comjj,1.5,,,2020-06-13
2020-06-16,Doomed! The Untold Story of Roger Corman's The Fantastic Four,2015,https://boxd.it/1cCTj5,4,,,2020-06-16
2020-06-20,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,https://boxd.it/1d0jm1,4,,,2020-06-19
2020-06-20,Scare Package,2019,https://boxd.it/1d11Q5,3,,,2020-06-20
2020-06-21,The Faculty,1998,https://boxd.it/1d72mR,4,,,2020-06-20
2020-06-23,After Midnight,2019,https://boxd.it/1dj6sj,3.5,,,2020-06-22
2020-06-24,Z,2019,https://boxd.it/1dq4hH,3,,,2020-06-23
2020-06-26,The Covenant,2006,https://boxd.it/1dA4dv,1,,,2020-06-25
2020-06-26,The Ranger,2018,https://boxd.it/1dBcTh,3,,,2020-06-26
2020-06-28,The Room,2019,https://boxd.it/1dNiG3,3,,,2020-06-27
2020-06-30,You Should Have Left,2020,https://boxd.it/1e0MPP,2.5,,,2020-06-29
2020-07-01,Bones,2001,https://boxd.it/1e6wm5,3.5,,,2020-06-30
2020-07-02,The Wandering Earth,2019,https://boxd.it/1ebEjj,3,,,2020-07-01
2020-07-04,What Lies Beneath,2000,https://boxd.it/1eoevT,3,,,2020-07-03
2020-07-04,Splice,2009,https://boxd.it/1ep4CR,3,,,2020-07-04
2020-07-06,Winchester,2018,https://boxd.it/1eDii5,2.5,,,2020-07-05
2020-07-07,Wolf,1994,https://boxd.it/1eJS3x,3.5,,,2020-07-06
2020-07-12,Palm Springs,2020,https://boxd.it/1ffcF9,4,,,2020-07-11
2020-07-12,"I, Frankenstein",2014,https://boxd.it/1fgiJN,2,,,2020-07-12
2020-07-13,The Phantom,1996,https://boxd.it/1fn5eB,3,,,2020-07-12
2020-07-14,Freddy vs. Jason,2003,https://boxd.it/1fupXZ,2.5,,,2020-07-13
2020-07-14,Jason Goes to Hell: The Final Friday,1993,https://boxd.it/1fuZij,1.5,,,2020-07-14
2020-07-15,The Old Guard,2020,https://boxd.it/1fAiw5,3,,,2020-07-14
2020-07-15,Eurovision Song Contest: The Story of Fire Saga,2020,https://boxd.it/1fAiAh,2.5,,,2020-07-14
2020-07-15,I Still Know What You Did Last Summer,1998,https://boxd.it/1fAzaF,2,,,2020-07-14
2020-07-16,Chastity Bites,2013,https://boxd.it/1fGuJ3,3,,,2020-07-15
2020-07-16,The Ballad of Buster Scruggs,2018,https://boxd.it/1fGuQD,3.5,,,2020-07-15
2020-07-18,Starship Troopers,1997,https://boxd.it/1fPWjv,4.5,Yes,,2020-07-17
2020-07-18,Total Recall,1990,https://boxd.it/1fSnEp,5,Yes,,2020-07-17
2020-07-18,Resident Evil: Afterlife,2010,https://boxd.it/1fSUWL,3,Yes,,2020-07-17
2020-07-18,Resident Evil,2002,https://boxd.it/1fTvKn,4.5,Yes,,2020-07-18
2020-07-19,Resident Evil: Apocalypse,2004,https://boxd.it/1fZu01,2.5,Yes,,2020-07-18
2020-07-20,Resident Evil: Extinction,2007,https://boxd.it/1g6Mzx,2.5,Yes,,2020-07-19
2020-07-20,Resident Evil: Retribution,2012,https://boxd.it/1g7QE9,2.5,Yes,,2020-07-20
2020-07-21,All Hallows' Eve 2,2015,https://boxd.it/1gdpUr,2,,,2020-07-20
2020-07-21,All Hallows' Eve,2013,https://boxd.it/1gdLm7,1.5,,,2020-07-20
2020-07-22,Resident Evil: The Final Chapter,2016,https://boxd.it/1ggPMz,2,,,2020-07-21
2020-07-22,Logan Lucky,2017,https://boxd.it/1ghDWf,4.5,,,2020-07-21
