Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-07-22,Resident Evil: The Final Chapter,2016,https://boxd.it/1ggPMz,2,,"Having now re-watched this after re-watching the entire series it is an especially baffling entry. One of the things that made the W. S. Anderson RE films stand out in the series was their clear, easy-to-understand, action and the bright, relatively high contrast, look, that made them pretty fun. This one is an Anderson film, but it is plagued by extremely low-contrast, difficult to see, shots; a lot of very dark scenes; and just incredibly, almost sickeningly, choppy editing only compounded by some overly shaky hand-held work. I really don't know what happened with this film to make it so gross to watch, but it is a shame that a series that seemed to have fun with its concepts ended up going out on such a grim, unoriginal, and unpleasant entry.",,2020-07-21
2020-07-22,Justice League Dark,2017,https://boxd.it/1giGEb,3,,"Fine little story, though nothing like the team in the book. ",,2020-07-21
2020-07-29,The Rental,2020,https://boxd.it/1h2v2n,2.5,,Eh,,2020-07-28
2020-07-30,Vamps,2012,https://boxd.it/1h8sYF,3.5,,"Look, it's no masterpiece, but everyone is having so much fun you gotta have fun with them and it's made with care and some nice attention to detail. It is not a hidden classic, but I really don't understand why it never got a wide release.",,2020-07-29
2020-08-01,Resolution,2012,https://boxd.it/1hkbsL,3.5,,"Slogs a little in the middle, but otherwise solid.",,2020-07-31
2020-08-03,Blow the Man Down,2019,https://boxd.it/1hvHdb,3.5,,"A well-paced and well-put-together little film that is quite smartly executed for both directors' first feature film. What really pulled it over the top for me was some of the creativity in portraying the setting and a number of rather excellent performances, especially the two stars Sophie Lowe and Morgan Saylor; along with a typically great performance by Margo Martindale. If there was any major flaw it was that I would have liked more time with some of the other characters. Ended up enjoying it way more than I expected. ",,2020-08-02
2020-08-04,Brahms: The Boy II,2020,https://boxd.it/1hEoCT,1.5,,I don't know why I watched this and I definitely don't know why you should.,,2020-08-03
2020-08-05,Leprechaun Returns,2018,https://boxd.it/1hKSQt,3,,I loled,,2020-08-04
2020-08-06,Late Phases,2014,https://boxd.it/1hQLtz,4,,"I really liked this, so clever, so smartly put together. It has heart. I recommend it!",,2020-08-05
2020-08-07,Stake Land,2010,https://boxd.it/1hWx3z,3.5,,"Cleanly made, creative in concept and very well written, very well acted. I really enjoyed this as a departure from some of the standard monster apocalypse fare. Also, some great movie music, not fancy, but solid.",,2020-08-06
2020-08-10,Selfie from Hell,2017,https://boxd.it/1ihF8p,1,,"Bad jump scares, nonsense plot, bad music. Why does this exist?",,2020-08-09
2020-08-11,Host,2020,https://boxd.it/1inOhn,3,,<i>Chronicle</i> meets <i>Unfriended</i>. Which is both more and less of a compliment than it sounds.,,2020-08-10
2020-08-13,Deep Blue Sea 3,2020,https://boxd.it/1iAVl3,3,,Better than the first one and almost as good as The Meg. A solid middle of the road shark film that is entertaining throughout.,,2020-08-12
2020-08-23,Live from the Space Stage: A HALYX Story,2020,https://boxd.it/1jy3HJ,4,,"As is standard for Defunctland a thing that I never knew about and had never thought I'd be interested in is not only fully fleshed out, but now I'm fully emotionally invested.",,2020-08-22
2020-08-23,American Nightmares,2018,https://boxd.it/1jCf51,3.5,,"An ok half season of tales from the crypt, but a little more typical.",,2020-08-23
2020-09-07,They're Watching,2016,https://boxd.it/1le7z3,3,,This could've been a very solid horror comedy if it wasn't for the unnecessary total tone shift for like 25 minutes before the big silly ending. But hey you're not going to have a bad time with it.,,2020-09-06
2020-09-25,Teddy,2020,https://boxd.it/1n3Nod,3.5,,Maybe I missed some French context but I am unclear where that mob came from.,,2020-09-24
2020-10-24,Disappearance at Clifton Hill,2019,https://boxd.it/1qa1IP,3.5,,"A little slow to start, but quite good.",,2020-10-24
2020-11-02,The Craft: Legacy,2020,https://boxd.it/1rf78R,3.5,,Not a perfect film but it hits right.,,2020-11-01
2020-11-03,Bad Hair,2020,https://boxd.it/1royjF,4,,"A lot more serious and clever than implied by its marketing, this one is a solid smart horror flick that's well put together and entirely engaging. I recommend it.",,2020-11-02
2020-11-09,The New Mutants,2020,https://boxd.it/1rYxkJ,3,,I liked it more than I thought I would!,,2020-11-08
2020-11-15,Call Me Lucky,2015,https://boxd.it/1szovR,5,,Wow,,2020-11-15
2020-11-24,Speed Racer,2008,https://boxd.it/1trWf7,4,,Give me more films where John Goodman kicks all the ass!,,2020-11-23
2020-11-26,Deathgasm,2015,https://boxd.it/1tHl9X,3,,Lol,,2020-11-25
