Date,Name,Year,Letterboxd URI
2021-08-24,Severance,2006,https://boxd.it/23nq
2021-08-29,The Gentlemen,2019,https://boxd.it/iYBQ
2021-09-01,Candyman,2021,https://boxd.it/kHFg
2021-09-06,Jay and Silent Bob Strike Back,2001,https://boxd.it/26ZM
2021-09-23,Blood Fest,2018,https://boxd.it/gW1i
2021-10-31,The Spine of Night,2021,https://boxd.it/tVjm
2021-11-25,Midnight Mass,2021,https://boxd.it/wvVA
2021-11-28,Super Hot,2021,https://boxd.it/w6SG
2021-12-09,Hansel & Gretel: Witch Hunters,2013,https://boxd.it/gmw
2022-01-03,Fullmetal Alchemist: Brotherhood,2009,https://boxd.it/ptii
2022-01-07,Grabbers,2012,https://boxd.it/2XL4
2022-01-08,The Matrix Resurrections,2021,https://boxd.it/n87k
2022-01-23,The Empty Man,2020,https://boxd.it/iIWS
2022-02-04,Horror Noire,2021,https://boxd.it/wEqm
2022-02-05,The Columnist,2019,https://boxd.it/oqke
2022-02-08,The Devil's Advocate,1997,https://boxd.it/286k
2022-02-12,Mortuary,2005,https://boxd.it/1OvE
2022-02-13,Snakes on a Plane,2006,https://boxd.it/2aAw
2022-02-19,Cherry Falls,2000,https://boxd.it/1RyQ
2022-02-28,The Suicide Squad,2021,https://boxd.it/fw6O
2022-03-03,Frankenhooker,1990,https://boxd.it/1saE
2022-03-16,Hawkeye,2021,https://boxd.it/xQqK
2022-04-05,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-05-03,Space Cop,2016,https://boxd.it/8DF8
2022-05-09,Listening to Kenny G,2021,https://boxd.it/wp0S
2022-06-25,The Void,2016,https://boxd.it/d93S
2022-06-28,Looney Tunes: Back in Action,2003,https://boxd.it/1Vzo
2022-07-11,Jay and Silent Bob Reboot,2019,https://boxd.it/fFvS
2022-07-24,The Bob's Burgers Movie,2022,https://boxd.it/if7w
2022-08-07,The Day of the Beast,1995,https://boxd.it/1Vyg
2022-08-24,Glorious,2022,https://boxd.it/zrn6
2022-09-22,Habit,1995,https://boxd.it/1p4y
2022-10-04,Six-String Samurai,1998,https://boxd.it/1x5a
2022-10-05,Shoot 'Em Up,2007,https://boxd.it/24LI
2022-11-14,Cowboy Bebop: The Movie,2001,https://boxd.it/1Uc4
2022-11-23,Prey,2022,https://boxd.it/sNBU
2022-12-02,Mallrats,1995,https://boxd.it/26ZW
2022-12-07,Bacurau,2019,https://boxd.it/fSUG
2022-12-09,Clerks III,2022,https://boxd.it/nAaQ
2022-12-12,Faust,1994,https://boxd.it/1G3i
2023-01-03,Glass Onion,2022,https://boxd.it/oCkK
2023-01-30,Rockula,1990,https://boxd.it/2Haw
2023-02-13,Magic Mike XXL,2015,https://boxd.it/7TTS
2023-02-25,The Congress,2013,https://boxd.it/4Ota
2023-03-11,All About Evil,2010,https://boxd.it/2tuW
2023-04-10,The Shining,1980,https://boxd.it/29Nu
2023-08-08,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-08-10,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI
2023-08-20,The Italian Job,2003,https://boxd.it/1Y86
2023-09-24,The Last Voyage of the Demeter,2023,https://boxd.it/nzTq
2023-11-11,Insect,2018,https://boxd.it/dC7E
2023-12-13,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a
2024-01-24,Aquaman and the Lost Kingdom,2023,https://boxd.it/l1LS
2024-02-21,The Cottage,2008,https://boxd.it/1PhS
